Sukunimi,Yhteensä
Olin,736
Rainio,735
Myöhänen,734
Korkeamäki,733
Pekkola,733
Pekonen,733
Tapaninen,733
Finnilä,731
Julin,731
Nyqvist,731
Valjakka,731
Roine,730
Särkelä,730
Vesalainen,730
Kantanen,729
Fagerlund,728
Juopperi,728
Lindstedt,728
Jokitalo,727
Muikku,726
Valta,726
Äikäs,726
Kiljunen,725
Dahlström,724
Luhtala,723
Kvist,722
Rasi,722
Sievänen,721
Kostamo,718
Eerikäinen,717
Kaskinen,716
Koivistoinen,716
Muukkonen,716
Koskimäki,715
Kuutti,715
Österman,715
Pajala,714
Peippo,714
Vehmas,714
Engblom,711
Kiviharju,710
Leminen,710
Långström,710
Malmström,710
Mantila,710
Willman,709
Jormanainen,708
Niittymäki,708
Paju,707
Grönfors,705
Piiparinen,705
Vilenius,705
Issakainen,704
Kupari,704
Lumme,704
Raita,704
Hautaniemi,702
Korte,702
Saarikko,700
Sipiläinen,700
Levänen,699
Lipsanen,699
Hyrkäs,694
Kuula,692
Laurén,692
Litmanen,692
Löppönen,692
Takanen,692
Törrönen,692
Teräväinen,691
Forsblom,690
Kymäläinen,690
Pihlajaniemi,689
Kylliäinen,688
Luotonen,688
Sundman,687
Poikolainen,686
Rämä,686
Ikola,685
Luttinen,685
Roth,685
Vilkman,685
Sihvola,684
Valkeapää,684
Asp,683
Konttila,683
Sopanen,683
Vuoristo,683
Abdi,682
Haaranen,681
Viinamäki,681
Boström,680
Kilponen,680
Korva,680
Talja,680
Smolander,679
Falck,678
Saarimaa,678
Multanen,677
Puisto,677
Sepponen,677
Tainio,677
Tiittanen,677
Turkki,674
Metsola,673
Nylander,673
Pääkkö,673
Mustajärvi,672
Turkia,672
Nupponen,670
Tammelin,670
Hagström,669
Englund,666
Hartikka,665
Jokiniemi,665
Juola,665
Hautanen,664
Joki,664
Lehtiniemi,664
Lundell,664
Santanen,664
Borg,663
Kuha,663
Puro,663
Lajunen,662
Björn,661
Karonen,661
Elonen,660
Pelttari,660
Nurkkala,659
Hussein,658
Jeskanen,658
Mankinen,658
Posti,658
Uski,658
Kolu,656
Sjölund,656
Tuuri,656
Gröndahl,655
Paakkunainen,655
Sihvo,655
Tonteri,655
Häyrynen,654
Sandelin,654
Tirronen,654
Alastalo,653
Weckman,651
Koivusalo,650
Muurinen,650
Hannuksela,649
Skog,649
Sääskilahti,649
Töyrylä,649
Väre,649
Martiskainen,648
Tiensuu,648
Pesu,647
Harinen,646
Mannonen,646
Tyrväinen,646
Koli,643
Mikkilä,642
Viitaniemi,642
Hyväri,641
Paukkunen,641
Alén,640
Suutarinen,640
Keinonen,639
Suihkonen,638
Nygren,637
Roiha,637
Uusimäki,637
Leppäniemi,635
Taponen,635
Vuolle,635
Rönnberg,634
Kattelus,633
Inkeroinen,632
Pylvänäinen,632
Summanen,632
Sassi,631
Häggman,630
Kilpi,630
Mansikkamäki,630
Suoranta,630
Virtala,630
Jalo,629
Karhumaa,629
Kiiveri,628
Larsson,628
Wiklund,628
Raitio,627
Syvänen,627
Tuokko,627
Kero,626
Ritola,626
Kanninen,625
Mynttinen,625
Tommila,625
Wikman,625
Hotti,624
Oikari,624
Virkkala,624
Koho,623
Luukkainen,623
Uotinen,623
Hoikkala,622
Huhtinen,622
Kohvakka,622
Liukko,622
Broman,621
Jaskari,621
Rummukainen,621
Heinola,620
Piispa,620
Mikola,619
Viitamäki,619
Ingman,617
Marjanen,617
Paunonen,617
Väistö,617
Friberg,616
Kivilahti,616
Häkli,615
Niemeläinen,615
Pitkälä,615
Rokka,615
Pätsi,614
Vanninen,614
Harjunpää,613
Kuosa,613
Nikkola,612
Pukkila,612
Viertola,612
Vitikainen,612
Puputti,611
Söderman,611
Hirvi,610
Hukka,610
Katila,610
Matero,609
Köykkä,608
Mulari,608
Tuovila,608
Vasara,608
Javanainen,607
Lehtoranta,607
Pärnänen,607
Hulkko,606
Vähämäki,606
Vähätalo,606
Westman,606
Blomster,605
Heininen,605
Lindblad,605
Roponen,605
Leppä,603
Mänttäri,603
Ståhl,602
Välikangas,602
Natunen,601
Silventoinen,601
Hannonen,600
Sulonen,600
Vertanen,598
Vähäkuopus,598
Myllys,596
Saarijärvi,596
Toppinen,596
West,596
Hellgren,595
Ikäheimo,595
Ritvanen,595
Villanen,595
Lundqvist,593
Mölsä,593
Pihlajamaa,593
Teppo,593
Perttunen,592
Skyttä,592
Enberg,591
Halminen,591
Hietaniemi,591
Björkqvist,590
Leikas,589
Stenius,588
Tilli,588
Bollström,587
Isokangas,587
Keronen,587
Kontinen,587
Malkki,587
Simpanen,587
Mutikainen,586
Akkanen,585
Erola,585
Haapasaari,585
Kaivola,585
Karsikas,585
Mansikka,585
Perämäki,585
Hemminki,584
Saranpää,584
Kaakinen,583
Kleemola,583
Lamminmäki,583
Nikulainen,583
Sundholm,583
Torkkeli,583
Hanhela,582
Torikka,582
Rautakoski,581
Honkaniemi,580
Kontturi,580
Nissi,580
Pirilä,580
Riihelä,580
Lantto,579
Tapanainen,578
Kähärä,577
Tuomala,577
Kokki,576
Onnela,576
Tiusanen,576
Hyry,575
Posio,575
Ruottinen,575
Ahopelto,574
Hyyppä,574
Paakki,574
Sund,574
Väliaho,574
Lindh,573
Paalanen,573
Simula,573
Törnqvist,573
Hemmilä,572
Kerttula,572
Latva,572
Niininen,572
Tuunainen,572
Ruoho,571
Heinilä,570
Ilves,570
Korpelainen,570
Ilonen,569
Kronqvist,569
Tornberg,569
Honka,568
Hännikäinen,568
Majava,568
Nyrhinen,568
Ståhlberg,568
Joronen,567
Takkunen,567
Juusola,566
Kakkonen,566
Kanto,566
Huttu,565
Hentilä,564
Ilmonen,563
Päkkilä,563
Rantonen,562
Sipponen,562
Mäntyniemi,561
Stolt,561
Behm,560
Innanen,560
Kukko,560
Pudas,560
Sandvik,560
Sjöström,560
Blomerus,559
Hyytinen,559
Impola,559
Kanervo,559
Lavikainen,559
Finne,558
Palmroth,558
Tapola,558
Haukka,557
Hentunen,557
Mettälä,557
Hiltula,556
Roivas,556
Maaranen,555
Mattinen,555
Kautonen,554
Ojaniemi,554
Sonninen,554
Hirsimäki,553
Lehtovaara,553
Saksa,553
Murtomäki,552
Saarni,552
Suoniemi,552
Lauri,550
Tokola,550
Humalajoki,549
Husso,549
Isoniemi,549
Karppi,549
Noponen,548
Viitasaari,548
Le,547
Leiviskä,547
Leppämäki,547
Kahila,546
Kunttu,546
Oittinen,546
Petäjä,546
Tallgren,546
Lonka,545
Rentola,545
Winter,545
Mourujärvi,544
Puumala,544
Åström,544
Piitulainen,543
Vähäsöyrinki,543
Paronen,542
Kareinen,541
Naskali,541
Paakkari,541
Kylmänen,540
Sorvali,540
Hanski,539
Lehtiö,539
Olsson,539
Rapo,539
Ruponen,539
Halmetoja,538
Lehtilä,538
Pirskanen,538
Rimpiläinen,538
Strandberg,538
Heiska,537
Sintonen,537
Sjögren,537
Ulmanen,537
Hellberg,536
Jokiranta,536
Pahkala,536
Sirkka,536
Tanttu,536
Häkkilä,535
Kaleva,535
Karhapää,535
Ibrahim,534
Mylläri,534
Pakanen,534
Kamula,533
Peltokorpi,533
Grankulla,532
Huuhka,532
Liedes,532
Peiponen,532
Romo,532
Ahtola,530
Hatakka,530
Paukku,530
Tulonen,530
Granroth,529
Hekkala,529
Isopahkala,529
Palojärvi,529
Hautakangas,528
Metsäranta,528
Selenius,528
Sten,528
Kaila,527
Mård,527
Lehmus,526
Alanne,525
Lukkarila,525
Rehn,525
Mörsky,524
