Etunimi,Lukumäärä
Adessa,520
Natalie,511
Silva,510
Aksel,508
Ida-Maria,508
Håkan,507
Anne-Maarit,506
Claudia,505
Ville-Pekka,504
Loviisa,503
Juri,500
Silvia,500
Elvira,497
Raakel,494
Aukusti,493
Jessika,493
Pirjo-Liisa,491
Saini,490
Maj-Lis,489
Mirko,488
Vesa-Pekka,488
Ivan,487
Jaro,485
Charlotte,485
Nuppu,485
Muhammad,483
Eivor,483
Lisbeth,483
Ritva-Liisa,483
Ibrahim,482
Signe,481
Ensio,480
Valter,480
Josefina,480
Arno,479
Bjarne,479
Elisabet,479
Romeo,478
Helmiina,472
Eedit,471
Vilhelmiina,471
Raino,469
Hellevi,469
Christopher,468
Pekko,468
Sirja,468
Sanna-Kaisa,466
Nicole,465
Ilmi,462
Eeva-Maria,461
Antti-Jussi,459
Arne,459
Milana,459
Ellinoora,457
Alvin,455
Sergei,455
Louna,455
Eija-Liisa,453
Maaria,453
Michelle,453
Melinda,452
Amina,450
Agnes,449
Amelie,449
Sani,449
Amir,448
Anna-Sofia,448
Arthur,444
Veini,444
Meiju,444
Veronika,444
Agneta,443
Bella,443
Alicia,442
Fiia,440
Miranda,438
Pontus,437
Elmer,435
Sanna-Maria,435
Tua,434
Åke,433
Jane,433
Julianna,432
Liinu,431
Lumia,431
Tamara,431
Kauno,430
Eeva-Maija,430
Ruben,429
Gustav,428
Clara,428
Kari-Pekka,426
Hillevi,426
Soila,426
Emelie,425
Antto,420
Beata,420
Assi,418
Valo,417
Mariia,417
Nathalie,417
Nikita,416
Iida-Maria,413
Stiina,413
Gunnar,412
Nana,412
Ronny,411
Usko,411
Guy,410
Antti-Pekka,409
Nicklas,409
Jelena,409
Viljam,408
Teea,408
Pavel,407
Mai,406
Arsi,405
Aisha,405
Karla,405
Artur,404
Michaela,403
Sophie,403
Maxim,402
Igor,401
Mary,401
Ulpu,401
Christine,400
August,399
Einari,397
Alfred,396
Mattias,393
Aina,392
Bettina,392
Linnéa,392
Viktoria,392
Arvid,391
Jakob,391
Moa,390
Joa,389
Sten,389
André,387
Georg,387
Into,387
Roman,387
Samppa,387
Sarianna,387
Bruno,386
Nestori,386
Hannamari,385
Abdirahman,384
Mustafa,384
Caroline,384
Madeleine,384
Karolina,383
Kent,382
Vilppu,380
Kaino,379
Maj,378
Mikke,377
Anne-Maj,377
Larissa,377
Lidia,377
Mandi,377
Denis,376
Jeanette,376
Aliina,375
Roosa-Maria,375
Sophia,374
Turkka,370
Jannika,370
Ohto,369
Annemari,369
Albin,368
Joosua,368
Wilhelm,365
Hanna-Maija,365
James,364
Kristoffer,364
Nino,362
Yasmin,362
Osku,361
Jadessa,361
Boris,359
Mathilda,359
Jasmina,358
Sienna,358
Rune,357
Fatima,357
Nenna,357
Pamela,357
Maja,356
Usva,356
Hannah,355
Gun-Britt,353
Wille,352
Mariam,350
Rebecka,350
Tage,349
Naomi,349
Manuel,348
Freja,348
Tiia-Maria,348
Philip,347
Kirsi-Maria,347
Edward,343
Jonny,343
Aatto,342
Maximilian,342
Ann-Marie,342
Sade,342
Daria,341
Aleksei,340
Asmo,340
Van,340
My,340
Ivar,339
Briitta,339
Minna-Liisa,338
Aleksander,337
Evert,337
Jacob,337
Märta,337
Samira,336
Aake,335
Edwin,335
Andrea,335
Jarna,335
Leena-Maija,335
Miira,335
Impi,333
Ahmad,332
Kaspian,332
Pietu,332
Anttoni,331
Edla,331
Annastiina,330
Maili,329
Maryam,329
Lia,328
Marius,326
Iitu,326
Heleena,324
Pernilla,324
Klas,322
Karo,321
Esteri,321
Jessi,321
Leeni,321
Lenita,321
Merita,321
Rosanna,321
Alvari,320
Kuisma,320
Eeti,319
Jack,318
Henrietta,318
Vivi,318
Iisak,317
Joshua,317
Hulda,317
Raija-Liisa,317
Vihtori,316
Salma,316
Lennart,315
Maksim,315
Miio,315
Mitja,315
Ann-Christine,315
Abdullahi,314
Mikhail,314
Ville-Petteri,314
Adelia,314
Julian,313
Pete,313
Bianca,312
Eden,312
Miriam,312
Vaula,311
Herman,310
Matts,310
Jenniina,310
Margarita,310
Rianna,310
Sonia,309
Karim,307
Beatrice,307
Nadia,307
Dominic,306
Einar,305
Jason,305
Kasimir,305
Adelina,305
Ninja,305
Ramona,305
Aslak,304
Amira,303
Helene,303
Mirja-Liisa,303
Carla,302
Herkko,301
Jean,301
Rakel,301
Rosita,301
Edvard,300
Melvin,300
Karina,300
Aleksis,298
Sanja,298
Svante,297
Zahra,297
Toimi,296
Uuno,296
Milton,295
Liana,295
Iisakki,293
Jake,293
Konstantin,293
Ole,293
Gerd,293
Marit,293
Ylva,293
Oleg,292
Totti,292
Miila,292
Svea,292
Riika,291
Ville-Matti,289
Melisa,289
Masi,288
Maj-Len,287
Nette,287
Thea,287
Esa-Pekka,286
Hassan,286
Eeva-Kaisa,286
Hellä,286
Mari-Anne,286
Hannu-Pekka,285
Ian,285
Jari-Matti,285
Asser,284
Angelica,283
Ruusa,282
Petro,281
Annica,281
Hanna-Riikka,280
Klara,280
Susa,280
Pirkka,279
Erkko,278
Liia,277
Nikke,276
Ove,276
Roland,276
Verner,276
Yusuf,276
Mariitta,276
Molly,276
Ted,275
Justiina,275
Maikki,275
Mariella,275
Joachim,274
Lovisa,274
Salla-Mari,274
Ursula,274
Soini,273
Anri,272
Valeria,272
Ari-Matti,271
Hussein,271
Mertsi,271
Valde,271
Gretel,271
Lisbet,271
Benny,269
Jasse,269
Edit,268
Paulina,268
Anthony,267
Angelina,267
Dina,267
Rikhard,266
Rony,266
Viveka,266
Elian,265
Anselmi,264
Jörgen,264
Sergey,264
Auri,264
Anelma,263
Tiiu,263
Jaani,262
Eeva-Riitta,262
Emilie,262
Hilppa,262
Kajsa,262
Eddie,261
Arja-Liisa,261
Kreetta,261
Maia,261
Telma,260
Bernt,259
Dimitri,259
Anna-Riikka,259
Eeva-Leena,259
Viveca,259
Levi,258
Orvo,257
Wiljami,257
Auni,257
Kirill,256
Louise,256
Sune,255
Erna,255
Kaarin,255
Micaela,255
Andrey,254
Henrika,254
Jenina,253
Kaija-Leena,253
Polina,253
Rosa-Maria,253
Juho-Pekka,252
Petter,252
Samir,252
Jennie,252
Josefin,252
Marlene,252
Ninna,251
Raita,251
Jone,250
Britt-Marie,250
Elizabeth,250
Jana,250
Pessi,249
Ann-Christin,249
Jetro,248
Wilmer,248
Wäinö,248
Isabelle,248
Josefine,248
Maija-Riitta,247
Rut,247
Hamza,246
Timo-Pekka,246
Sigrid,246
Peik,245
Per-Erik,244
Renne,244
Susann,244
Tilde,244
Simeon,243
Dmitri,242
Maunu,242
Arja-Leena,242
Hanni,242
Ksenia,242
Viggo,241
Sabrina,241
Pieta,240
Leonardo,239
Charles,238
Matthew,238
Gabriella,238
Juliana,238
Meri-Tuuli,238
Knut,237
Miiko,237
Klaara,237
Liudmila,237
Lyyti,237
Anna-Lena,236
Hellin,236
Lotte,236
Alec,235
Elizaveta,235
Freya,235
Berndt,234
Olof,234
Larisa,234
Anas,233
Immo,233
Kuutti,233
Dick,232
Torsten,232
Anna-Riitta,232
Lilly,232
Celina,231
Marleena,231
Nadezda,231
Antonio,230
Gösta,229
Leonard,229
Cassandra,229
Wilhelmiina,229
Nemo,228
Suvi-Tuuli,228
Casimir,227
Jeremia,227
Anna-Kaarina,227
Eleonora,227
Evelin,227
Karl-Erik,226
Liinus,226
Annakaisa,226
Emmiina,226
Ernst,225
Ana,225
Jannica,225
Leni,225
Eva-Maria,224
Katrina,224
Maini,224
Noona,224
Ronnie,223
Disa,223
Marke,223
Carlos,222
Nova,222
Sirpa-Liisa,222
Daniil,221
Lars-Erik,221
